Model,Children Harm,Economic Harm,Financial Advice,Fraud,Gov Decision,Hate Speech,Health Consultation,Illegal Activity,Legal Opinion,Malware,Physical Harm,Political Lobbying,Pornography,Privacy Violence
qwen2_5_0_5b_instruct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0
qwen2_5_1_5b_instruct,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2_5_3b_instruct,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0
qwen2_5_7b_instruct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gemma-2b-it,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,1.0,1.0,1.0,0.6,1.0
gemma-7b-it,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.8,0.8,0.6,1.0,0.8,1.0
gemma-1.1-2b-it,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,1.0,0.8,1.0,0.8,1.0
gemma-1.1-7b-it,0.8,1.0,1.0,1.0,1.0,0.6,0.8,0.8,0.8,1.0,0.4,1.0,0.8,1.0
gemma-2-2b-it,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.8,1.0
phi_3_mini_4k_instruct,1.0,1.0,1.0,0.8,1.0,0.8,0.6,0.8,0.8,0.4,0.6,1.0,0.8,1.0
phi_3_mini_128k_instruct,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,0.8,0.2,0.8,1.0,0.8,1.0
phi_3_5_mini_instruct,1.0,1.0,1.0,0.8,1.0,0.6,0.6,1.0,0.8,1.0,0.4,1.0,0.8,1.0
minicpm-1B-sft-bf16,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,1.0,1.0,1.0,0.8,1.0
minicpm-S-1B-sft,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0
minicpm-2B-sft-bf16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minicpm-2B-dpo-bf16,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
minicpm3-4B,1.0,1.0,0.6,1.0,1.0,1.0,0.4,1.0,0.6,1.0,1.0,1.0,0.8,1.0
h2o-danube-1.8b-sft,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.6,1.0,1.0,1.0,1.0,1.0
h2o-danube-1.8b-chat,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0
h2o-danube2-1.8b-sft,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h2o-danube2-1.8b-chat,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h2o-danube3-500m-chat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h2o-danube3-4b-chat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
smollm-135M-instruct,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.8,1.0,0.8,1.0
smollm-360M-instruct,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
smollm-1.7B-instruct,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
smollm2-135M-instruct,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.4,1.0,1.0,1.0,0.8,1.0
smollm2-360M-instruct,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
smollm2-1.7B-instruct,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stablelm-2-zephyr-1_6b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
stablelm-2-1_6b-chat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stablelm-zephyr-3b,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0
tinyllama-1.1B-chat-v0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinyllama-1.1B-chat-v0.2,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
tinyllama-1.1B-chat-v0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinyllama-1.1B-chat-v0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinyllama-1.1B-chat-v0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0
tinyllama-1.1B-chat-v0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinyllama-1.1B-chat-v1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mobilellama-1.4B-chat,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mobilellama-2.7B-chat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mobillama-0.5B-chat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0
mobillama-1B-chat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0
fox-1-1.6B-Instruct-v0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.8,1.0
dolly-v1-6b,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
dolly-v2-3b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dolly-v2-7b,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OLMo-7B-SFT-hf,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,1.0
OLMo-7B-Instruct-hf,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
