method,model,case_id,rounds,total_time_minutes,per_round_minutes,logs_path
AutoDAN,llama3_2_3b_instruct,20,24.0,8.63,0.36,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_20/logs.json
AutoDAN,llama3_2_3b_instruct,21,15.0,5.52,0.368,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_21/logs.json
AutoDAN,llama3_2_3b_instruct,22,27.0,5.52,0.204,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_22/logs.json
AutoDAN,llama3_2_3b_instruct,23,1.0,5.52,5.52,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_23/logs.json
AutoDAN,llama3_2_3b_instruct,24,26.0,5.52,0.212,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_24/logs.json
AutoDAN,llama3_2_3b_instruct,25,6.0,5.52,0.92,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_25/logs.json
AutoDAN,llama3_2_3b_instruct,26,11.0,6.393,0.581,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_26/logs.json
AutoDAN,llama3_2_3b_instruct,27,11.0,6.393,0.581,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_27/logs.json
AutoDAN,llama3_2_3b_instruct,28,22.0,6.393,0.291,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_28/logs.json
AutoDAN,llama3_2_3b_instruct,29,18.0,6.393,0.355,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_29/logs.json
AutoDAN,llama3_2_3b_instruct,30,16.0,6.393,0.4,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_30/logs.json
AutoDAN,llama3_2_3b_instruct,31,37.0,8.407,0.227,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_31/logs.json
AutoDAN,llama3_2_3b_instruct,32,6.0,8.407,1.401,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_32/logs.json
AutoDAN,llama3_2_3b_instruct,33,40.0,8.407,0.21,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_33/logs.json
AutoDAN,llama3_2_3b_instruct,34,15.0,8.407,0.56,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_34/logs.json
AutoDAN,llama3_2_3b_instruct,35,1.0,8.407,8.407,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_35/logs.json
AutoDAN,llama3_2_3b_instruct,36,11.0,7.463,0.678,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_36/logs.json
AutoDAN,llama3_2_3b_instruct,37,11.0,7.463,0.678,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_37/logs.json
AutoDAN,llama3_2_3b_instruct,38,19.0,7.463,0.393,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_38/logs.json
AutoDAN,llama3_2_3b_instruct,39,28.0,7.463,0.267,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_39/logs.json
AutoDAN,llama3_2_3b_instruct,40,28.0,7.463,0.267,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_40/logs.json
AutoDAN,llama3_2_3b_instruct,41,11.0,6.921,0.629,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_41/logs.json
AutoDAN,llama3_2_3b_instruct,42,11.0,6.921,0.629,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_42/logs.json
AutoDAN,llama3_2_3b_instruct,43,11.0,6.921,0.629,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_43/logs.json
AutoDAN,llama3_2_3b_instruct,44,30.0,6.921,0.231,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_44/logs.json
AutoDAN,llama3_2_3b_instruct,45,14.0,6.921,0.494,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_45/logs.json
AutoDAN,llama3_2_3b_instruct,46,13.0,7.542,0.58,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_46/logs.json
AutoDAN,llama3_2_3b_instruct,47,12.0,7.542,0.629,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_47/logs.json
AutoDAN,llama3_2_3b_instruct,48,11.0,7.542,0.686,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_48/logs.json
AutoDAN,llama3_2_3b_instruct,49,30.0,7.542,0.251,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_49/logs.json
AutoDAN,llama3_2_3b_instruct,50,27.0,7.542,0.279,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_50/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,1,1.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_1/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,2,1.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_2/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,3,1.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_3/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,4,1.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_4/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,5,1.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_5/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,6,1.0,0.118,0.118,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_6/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,7,1.0,0.118,0.118,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_7/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,8,1.0,0.118,0.118,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_8/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,9,1.0,0.118,0.118,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_9/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,10,1.0,0.118,0.118,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_10/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,11,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_11/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,12,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_12/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,13,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_13/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,14,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_14/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,15,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_15/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,16,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_16/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,17,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_17/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,18,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_18/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,19,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_19/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,20,1.0,0.126,0.126,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_20/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,21,1.0,0.117,0.117,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_21/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,22,1.0,0.117,0.117,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_22/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,23,1.0,0.117,0.117,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_23/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,24,1.0,0.117,0.117,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_24/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,25,1.0,0.117,0.117,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_25/logs.json
AutoDAN,DeepSeek-R1-Distill-Qwen-1.5B,26,1.0,0.127,0.127,/data2/zwh/HarmBench/results_full_50/AutoDAN/DeepSeek-R1-Distill-Qwen-1.5B/test_cases/test_cases_individual_behaviors/advbench_subset_26/logs.json
